JEE Advanced 2022 - Aggregate Total Marks with Different Ranks in CRL,
Aggregate Total with CRL,
CRL,Score
1,314
101,236
201,221
301,209
401,199
501,192
601,186
701,182
801,177
901,173
1001,170
1101,167
1201,163
1301,161
1401,159
1501,156
1601,153
1701,151
1801,149
1901,147
2001,146
2101,144
2201,143
2301,141
2401,140
2501,138
2601,137
2701,136
2801,134
2901,133
3001,132
3101,131
3201,129
3301,128
3401,127
3501,126
3601,125
3701,124
3901,123
4001,122
4101,121
4201,120
4301,120
4401,119
4501,118
4601,118
4701,117
4801,116
4901,115
5001,115
5101,114
5201,114
5301,113
5401,113
5501,112
5601,111
5701,111
5801,110
5901,110
6001,109
6101,108
6201,108
6301,108
6401,107
6501,107
6601,106
6701,106
6801,105
6901,104
7001,104
7101,104
7201,103
7301,103
7401,102
7501,102
7601,101
7701,101
7801,101
7901,100
8001,100
8101,99
8201,99
8301,98
8401,98
8501,98
8601,97
8701,97
8801,96
8901,96
9001,96
9101,95
9201,95
9301,95
9401,94
9501,94
9601,94
9701,93
9801,93
9901,93
10001,92
10101,92
10201,91
10301,91
10401,91
10501,91
10601,90
10701,90
10801,90
10901,89
11001,89
11101,89
11201,88
11301,88
11401,88
11501,87
11601,87
11701,87
11801,87
11901,86
12001,86
12101,86
12201,85
12301,85
12401,85
12501,85
12601,84
12701,84
12801,84
12901,83
13001,83
13101,83
13201,83
13301,82
13401,82
13501,82
13601,82
13701,81
13801,81
13901,81
14001,81
14101,80
14201,80
14301,80
14401,80
14501,79
14601,79
14701,79
14801,79
14901,79
15001,78
15101,78
15201,78
15301,78
15401,77
15501,77
15601,77
15701,77
15801,76
16001,76
16101,76
16201,76
16301,75
16401,75
16501,75
16601,75
16701,75
16801,74
16901,74
17001,74
17101,74
17201,74
17301,73
17401,73
17501,73
17601,73
17701,73
17801,72
17901,72
18001,72
18101,72
18201,72
18301,71
18401,71
18501,71
18601,71
18701,71
18801,71
18901,70
19001,70
19101,70
19201,70
19301,70
19401,69
19501,69
19601,69
19701,69
19801,69
19901,68
20001,68
20101,68
20201,68
20301,68
20401,68
20501,67
20601,67
20701,67
20801,67
20901,67
21001,67
21101,66
21201,66
21301,66
21401,66
21501,66
21601,65
21701,65
21801,65
21901,65
22001,65
22101,65
22201,65
22301,64
22401,64
22501,64
22601,64
22701,64
22801,64
22901,63
23001,63
23101,63
23201,63
23301,63
23401,63
23501,63
23601,62
23701,62
23801,62
23901,62
24001,62
24101,62
24201,61
24301,61
24401,61
24601,61
24701,61
24801,60
24901,60
25001,60
25101,60
25201,60
25301,60
25401,60
25501,59
25601,59
25701,59
25801,59
25901,59
26001,59
26101,59
26101,59
26201,58
26301,58
26401,58
26501,58
26601,58
26701,58
26801,57
26901,57
27001,57
27101,57
27201,57
27301,57
27401,57
27401,57
27501,56
27601,56
27701,56
27801,56
27901,56
28001,56
28101,56
28201,56
28301,55
28401,55
28501,55
28601,55
28701,55
28801,55
28901,55
28978,55
