JEE Main Marks (out of 300),JEE Main 2023 Rank,,JEE Main 2023 Percentile,JEE Main 2023 Rank,,Category,JEE Main Qualifying Cutoff 2023
300-281,01/01/2020,,100 – 99.99989145,1 – 20,,Unreserved Category (UR),90.7788642
280 - 271,80 - 24,,99.994681 – 99.997394,80 – 24,,Scheduled Caste (SC),51.9776027
270 - 263,83 - 55,,99.990990 – 99.994029,83 – 55,,Scheduled Tribe (ST),37.2348772
262 - 250 ,210 - 85,,99.977205 – 99.988819,210 – 85,,Economically Weaker Section (EWS),75.6229025
250 - 241,367 - 215,,99.960163 – 99.975034,367 – 215,,Other Backward Class (OBC-NCL),73.6114227
240 - 231,599 - 375,,99.934980 – 99.956364,599 – 375,,People with Disabilities (PwD),0.0013527
230 - 221,911 - 610,,99.901113 – 99.928901,911 – 610,,,
220 - 211,1367 - 920,,99.851616 – 99.893732,1367 – 920,,,
210 - 201,1888 - 1375,,99.795063 – 99.845212,1888 – 1375,,,
100 - 191,2664 - 1900,,99.710831 – 99.782472,2664 – 1900,,,
190 - 181,3710 - 2700,,99.597399 – 99.688579,3710 – 2700,,,
180 - 171,5003- 3800,,99.456939 – 99.573193,5003- 3800,,,
170 - 161,6706 - 5100,,99.272084 – 99.431214,6706 – 5100,,,
160 - 151,8949 - 6800,,99.028614 – 99.239737,8949 – 6800,,,
150 - 141,11678 - 9000,,98.732389 – 98.990296,11678 – 9000,,,
140 - 131,15501 - 11800,,98.317414 – 98.666935,15501 – 11800,,,
130 - 121,20164 - 15700,,97.811260 – 98.254132,20164 – 15700,,,
120 - 111,26321 - 20500,,97.142937 – 97.685672,26321 – 20500,,,
110 - 101,34966 - 26500,,96.204550 – 96.978272,34966 – 26500,,,
100 - 91,46076 - 35000,,94.998594 – 96.064850,46076 – 35000,,,
90 - 89,60147 - 46500,,93.471231 – 94.749479,60147 – 46500,,,
80 - 71,82249 - 61000,,91.072128 – 93.152971,82249 – 61000,,,
70 - 61,115045 - 83000,,87.512225 – 90.702200,115045 – 83000,,,
60 - 51,165679 - 117000,,82.016062 – 86.907944,165679 – 117000,,,
50 - 41,246089 - 166000,,73.287808 – 80.982153,246089 – 166000,,,
40 - 31,385534 - 264383,,58.151490 – 71.302052,385534 – 264383,,,
30 - 29,326517-173239,,,,,,
01/28/2024,1025009-334080,,,,,,
